Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"GPIO[5]","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U10.C11","1903","406","1C","[4]"
"GPIO[5]","OffPage","04 -Serializer","4","SCHEMATIC1","U6.8","194","522","5C","[3]"
"H_DATA1","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.K9","1852","604","1C","[4]"
"H_DATA1","OffPage","04 -Serializer","4","SCHEMATIC1","U6.27","179","775","5B","[3]"
"H_DATA0","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.J9","1852","614","1C","[4]"
"H_DATA0","OffPage","04 -Serializer","4","SCHEMATIC1","U6.26","179","785","5B","[3]"
"H_DATA2","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.H8","1852","594","1C","[4]"
"H_DATA2","OffPage","04 -Serializer","4","SCHEMATIC1","U6.28","179","765","5B","[3]"
"H_DATA3","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.J8","1852","584","1C","[4]"
"H_DATA3","OffPage","04 -Serializer","4","SCHEMATIC1","U6.30","179","755","5B","[3]"
"H_DATA4","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.K8","1852","574","1C","[4]"
"H_DATA4","OffPage","04 -Serializer","4","SCHEMATIC1","U6.31","179","745","5B","[3]"
"H_DATA5","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.G7","1852","564","1C","[4]"
"H_DATA5","OffPage","04 -Serializer","4","SCHEMATIC1","U6.32","179","735","5C","[3]"
"H_DATA6","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.H7","1852","554","1C","[4]"
"H_DATA6","OffPage","04 -Serializer","4","SCHEMATIC1","U6.1","179","725","5C","[3]"
"H_DATA7","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.J7","1852","544","1C","[4]"
"H_DATA7","OffPage","04 -Serializer","4","SCHEMATIC1","U6.2","179","715","5C","[3]"
"SDATA","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.C3","1903","386","1C","[4]"
"SDATA","OffPage","04 -Serializer","4","SCHEMATIC1","R49.2,TP8.1,U6.23","195","500","5C","[3]"
"SCLK","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.B1","1903","396","1C","[4]"
"SCLK","OffPage","04 -Serializer","4","SCHEMATIC1","R48.2,TP7.1,U6.24","195","510","5C","[3]"
"H_VSYNC","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.G4","1852","634","1C","[4]"
"H_VSYNC","OffPage","04 -Serializer","4","SCHEMATIC1","TP9.1,U6.11","179","805","5B","[3]"
"H_DATA9","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.K7","1852","524","1C","[4]"
"H_DATA9","OffPage","04 -Serializer","4","SCHEMATIC1","U6.4","179","695","5C","[3]"
"H_DATA10","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.J6","1852","514","1C","[4]"
"H_DATA10","OffPage","04 -Serializer","4","SCHEMATIC1","U6.6","179","685","5C","[3]"
"H_DATA11","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.K6","1852","504","1C","[4]"
"H_DATA11","OffPage","04 -Serializer","4","SCHEMATIC1","U6.7","179","675","5C","[3]"
"H_HSYNC","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.H2","1852","644","1C","[4]"
"H_HSYNC","OffPage","04 -Serializer","4","SCHEMATIC1","TP10.1,U6.10","179","815","5B","[3]"
"H_FRAME_SYNC","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.G3","1852","654","1C","[4]"
"H_FRAME_SYNC","OffPage","04 -Serializer","4","SCHEMATIC1","R42.2,R43.1","179","825","5B","[3]"
"H_PIXCLK","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","C29.1,R20.1,U3.J1","1852","624","1C","[4]"
"H_PIXCLK","OffPage","04 -Serializer","4","SCHEMATIC1","TP11.1,U6.25","179","795","5B","[3]"
"H_DATA8","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.H6","1852","534","1C","[4]"
"H_DATA8","OffPage","04 -Serializer","4","SCHEMATIC1","U6.3","179","705","5C","[3]"
